"INSEE_COM","STATUS","LIBGEO","POP","MED","CHOM","ACT"
"97201","Simple municipality","L'Ajoupa-Bouillon",1902,13633,254,801
"97202","Simple municipality","Les Anses-d'Arlet",3737,14558,425,1659
"97203","Simple municipality","Basse-Pointe",3357,14456,400,1395
"97204","Simple municipality","Le Carbet",3683,18847,285,1568
"97205","Simple municipality","Case-Pilote",4458,21005,347,2096
"97206","Simple municipality","Le Diamant",5976,19704,430,2654
"97207","Simple municipality","Ducos",17792,19341,1546,8352
"97208","Simple municipality","Fonds-Saint-Denis",790,15151,84,343
"97209","Prefecture","Fort-de-France",82502,16927,10046,37615
"97210","Simple municipality","Le François",17540,15951,2342,8178
"97211","Simple municipality","Grand'Rivière",686,13274,78,281
"97212","Simple municipality","Gros-Morne",10100,14786,1426,4465
"97213","Simple municipality","Le Lamentin",40033,18034,4145,19374
"97214","Simple municipality","Le Lorrain",6987,13487,832,2898
"97215","Simple municipality","Macouba",1087,13474,132,436
"97216","Simple municipality","Le Marigot",3307,14205,362,1370
"97217","Sub-prefecture","Le Marin",8847,15158,945,3751
"97218","Simple municipality","Le Morne-Rouge",5093,15134,622,2170
"97219","Simple municipality","Le Prêcheur",1449,11929,173,595
"97220","Simple municipality","Rivière-Pilote",12120,15274,1858,5486
"97221","Simple municipality","Rivière-Salée",12407,16504,1608,5653
"97222","Simple municipality","Le Robert",23139,15989,3295,11093
"97223","Simple municipality","Saint-Esprit",9379,16417,1033,4168
"97224","Simple municipality","Saint-Joseph",16494,17817,1895,7562
"97225","Sub-prefecture","Saint-Pierre",4177,12973,499,1678
"97226","Simple municipality","Sainte-Anne",4264,15420,490,1815
"97227","Simple municipality","Sainte-Luce",9943,18397,950,4725
"97228","Simple municipality","Sainte-Marie",16658,13701,2371,7035
"97229","Simple municipality","Schoelcher",19915,21761,1762,9272
"97230","Sub-prefecture","La Trinité",12771,16860,1676,5861
"97231","Simple municipality","Les Trois-Îlets",7648,19638,846,3828
"97232","Simple municipality","Le Vauclin",9159,14461,971,3635
"97233","Simple municipality","Le Morne-Vert",1858,18041,137,785
"97234","Simple municipality","Bellefontaine",1619,16375,143,764
